0 5094 86820 -1.28823e-231
150 18 407 3.06125
200 26 396 -9.40174
250 26 392 -8.66627
300 24 430 19.5211
350 22 473 3.8245
400 22 422 7.97085
450 34 395 -3.14113
500 6 388 0.357885
550 20 383 8.09126
600 14 355 2.05009
650 18 430 2.48982
700 22 364 -34.2154
750 0 111 0
